#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 179     7.341700    0.34066296E+00
 180     7.351700   -0.59896166E+01
 181     7.361700   -0.28037310E+01
 182     7.371700   -0.19302148E+00
 183     7.381700    0.84067105E+01
 184     7.391700    0.16122119E+02
 185     7.401700    0.29336929E+02
 186     7.411700    0.36723345E+02
 187     7.421700    0.31130888E+02
 188     7.431700    0.37144575E+02
 189     7.441700    0.70084647E+02
 190     7.451700    0.80812879E+02
 191     7.461700    0.83174897E+02
 192     7.471700    0.63857560E+02
 193     7.481700    0.36983174E+02
 194     7.491700    0.11236703E+02
 195     7.501700   -0.75281215E+01
 196     7.511700   -0.21415077E+02
 197     7.521700   -0.40936972E+02
 198     7.531700   -0.50244629E+02
 199     7.541700   -0.62106884E+02
 200     7.551700   -0.77183449E+02
 201     7.561700   -0.92132047E+02
 202     7.571700   -0.10342347E+03
 203     7.581700   -0.12096743E+03
 204     7.591700   -0.13955006E+03
 205     7.601700   -0.16597190E+03
 206     7.611700   -0.19581108E+03
 207     7.621700   -0.25032776E+03
 208     7.631700   -0.32722843E+03
 209     7.641700   -0.36223382E+03
 210     7.651700   -0.38170758E+03
 211     7.661700   -0.39689460E+03
 212     7.671700   -0.38506453E+03
 213     7.681700   -0.36710230E+03
 214     7.691700   -0.34088459E+03
 215     7.701700   -0.32456623E+03
 216     7.711700   -0.31007019E+03
 217     7.721700   -0.29560092E+03
 218     7.731700   -0.27867918E+03
 219     7.741700   -0.26387897E+03
 220     7.751700   -0.25833468E+03
 221     7.761700   -0.24248503E+03
 222     7.771700   -0.22166179E+03
 223     7.781700   -0.20379746E+03
 224     7.791700   -0.20352074E+03
 225     7.801700   -0.21609128E+03
 226     7.811700   -0.24932678E+03
 227     7.821700   -0.25551858E+03
 228     7.831700   -0.27999449E+03
 229     7.841700   -0.29486630E+03
 230     7.851700   -0.31515287E+03
 231     7.861700   -0.31906972E+03
 232     7.871700   -0.33293292E+03
 233     7.881700   -0.34196993E+03
 234     7.891700   -0.34296003E+03
 235     7.901700   -0.33671023E+03
 236     7.911700   -0.31765177E+03
 237     7.921700   -0.30404573E+03
 238     7.931700   -0.29146101E+03
 239     7.941700   -0.27328886E+03
 240     7.951700   -0.24583065E+03
 241     7.961700   -0.22139918E+03
 242     7.971700   -0.19799594E+03
 243     7.981700   -0.17365757E+03
 244     7.991700   -0.13090698E+03
 245     8.001700   -0.61112329E+02
 246     8.011700   -0.30098965E+02
 247     8.021700   -0.16002925E+02
 248     8.031700   -0.12095704E+02
 249     8.041700   -0.13095239E+02
 250     8.051700   -0.14110099E+02
 251     8.061700   -0.28473071E+02
 252     8.071700   -0.46100364E+02
 253     8.081700   -0.60889695E+02
 254     8.091700   -0.85146879E+02
 255     8.101700   -0.13188094E+03
 256     8.111700   -0.14720087E+03
 257     8.121700   -0.14789812E+03
 258     8.131700   -0.14331133E+03
 259     8.141700   -0.13073555E+03
 260     8.151700   -0.12684583E+03
 261     8.161700   -0.12349915E+03
 262     8.171700   -0.11186284E+03
 263     8.181700   -0.10698257E+03
 264     8.191700   -0.94032197E+02
 265     8.201700   -0.92249023E+02
 266     8.211700   -0.87140440E+02
 267     8.221700   -0.83369736E+02
 268     8.231700   -0.74381813E+02
 269     8.241700   -0.71224279E+02
 270     8.251700   -0.68564694E+02
 271     8.261700   -0.62501027E+02
 272     8.271700   -0.59119054E+02
 273     8.281700   -0.47566923E+02
 274     8.291700   -0.47727135E+02
 275     8.301700   -0.45713826E+02
 276     8.311700   -0.42770948E+02
 277     8.321700   -0.34566992E+02
 278     8.331700   -0.30778528E+02
 279     8.341700   -0.29951913E+02
 280     8.351700   -0.22057713E+02
 281     8.361700   -0.16643688E+02
 282     8.371700   -0.12697516E+02
 283     8.381700   -0.11480314E+02
 284     8.391700   -0.68682450E+01
 285     8.401700    0.64653057E+01
 286     8.411700    0.48033156E+01
 287     8.421700    0.78627742E+01
 288     8.431700    0.12570576E+02
 289     8.441700    0.20027370E+02
 290     8.451700    0.23005281E+02
 291     8.461700    0.27959304E+02
 292     8.471700    0.35923283E+02
 293     8.481700    0.38342000E+02
 294     8.491700    0.44150631E+02
 295     8.501700    0.46740435E+02
 296     8.511700    0.46587256E+02
 297     8.521700    0.47447533E+02
 298     8.531700    0.40335135E+02
 299     8.541700    0.33197967E+02
 300     8.551700    0.26067652E+02
 301     8.561700    0.21830464E+02
 302     8.571700    0.13895950E+02
 303     8.581700    0.78407426E+01
 304     8.591700    0.72613617E+01
 305     8.601700    0.71727130E+01
 306     8.611700    0.70235164E+01
 307     8.621700    0.68885750E+01
 308     8.631700    0.66929703E+01
 309     8.641700    0.65874309E+01
 310     8.651700    0.65199260E+01
 311     8.661700    0.63824357E+01
 312     8.671700    0.62487725E+01
 313     8.681700    0.61445821E+01
 314     8.691700    0.60271740E+01
 315     8.701700    0.59867848E+01
 316     8.711700    0.58912854E+01
 317     8.721700    0.58354749E+01
 318     8.731700    0.57401517E+01
 319     8.741700    0.56254561E+01
 320     8.751700    0.55425809E+01
 321     8.761700    0.54267976E+01
 322     8.771700    0.53904321E+01
 323     8.781700    0.52872591E+01
 324     8.791700    0.52201065E+01
 325     8.801700    0.51773510E+01
 326     8.811700    0.51116320E+01
 327     8.821700    0.50542659E+01
 328     8.831700    0.50266651E+01
 329     8.841700    0.49825964E+01
 330     8.851700    0.49320623E+01
 331     8.861700    0.48652619E+01
 332     8.871700    0.48285147E+01
 333     8.881700    0.47643960E+01
 334     8.891700    0.47519510E+01
 335     8.901700    0.47049621E+01
 336     8.911700    0.46649210E+01
 337     8.921700    0.46263924E+01
 338     8.931700    0.45777586E+01
 339     8.941700    0.45576647E+01
 340     8.951700    0.45336275E+01
 341     8.961700    0.45048792E+01
 342     8.971700    0.44867768E+01
 343     8.981700    0.44589626E+01
 344     8.991700    0.44423543E+01
 345     9.001700    0.44226446E+01
 346     9.011700    0.44195840E+01
 347     9.021700    0.44057846E+01
 348     9.031700    0.43877163E+01
 349     9.041700    0.43657799E+01
 350     9.051700    0.43442729E+01
 351     9.061700    0.43316985E+01
 352     9.071700    0.43187732E+01
 353     9.081700    0.43152918E+01
 354     9.091700    0.43133553E+01
 355     9.101700    0.43036892E+01
 356     9.111700    0.42982809E+01
 357     9.121700    0.42938304E+01
 358     9.131700    0.42920942E+01
 359     9.141700    0.42886559E+01
 360     9.151700    0.42884421E+01
