#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1     7.749900   -0.14968718E+03
   2     7.759900   -0.12378025E+03
   3     7.769900   -0.11077794E+03
   4     7.779900   -0.12635437E+03
   5     7.789900   -0.10316837E+03
   6     7.799900   -0.75980465E+02
   7     7.809900   -0.67580186E+02
   8     7.819900   -0.49766715E+02
   9     7.829900   -0.42717094E+02
  10     7.839900   -0.39408569E+02
  11     7.849900   -0.90232882E+02
  12     7.859900   -0.93896446E+02
  13     7.869900   -0.12384360E+03
  14     7.879900   -0.15761070E+03
  15     7.889900   -0.16254574E+03
  16     7.899900   -0.12501761E+03
  17     7.909900   -0.12418261E+03
  18     7.919900   -0.17093603E+03
  19     7.929900   -0.20221183E+03
  20     7.939900   -0.20811206E+03
  21     7.949900   -0.19417304E+03
  22     7.959900   -0.16981524E+03
  23     7.969900   -0.13497117E+03
  24     7.979900   -0.91064539E+02
  25     7.989900   -0.68002060E+02
  26     7.999900   -0.32107205E+02
  27     8.009900    0.58744735E+01
  28     8.019900    0.31972848E+02
  29     8.029900    0.31618837E+02
  30     8.039900    0.35915107E+02
  31     8.049900    0.30440565E+02
  32     8.059900    0.54832973E+01
  33     8.069900   -0.36790439E+02
  34     8.079900   -0.19384619E+02
  35     8.089900    0.51405349E+02
  36     8.099900    0.82740992E+02
  37     8.109900    0.88778947E+02
  38     8.119900    0.91796484E+02
  39     8.129900    0.85679367E+02
  40     8.139900    0.76763211E+02
  41     8.149900    0.68910062E+02
  42     8.159900    0.52955544E+02
  43     8.169900    0.34372803E+02
  44     8.179900    0.13647845E+02
  45     8.189900    0.81182786E-01
  46     8.199900   -0.96318796E+01
  47     8.209900   -0.17708001E+02
  48     8.219900    0.36271264E+01
  49     8.229900    0.22163250E+01
  50     8.239900   -0.12133965E+02
  51     8.249900   -0.17196317E+02
  52     8.259900   -0.94701294E+01
  53     8.269900   -0.38167781E+01
  54     8.279900    0.13718886E+01
  55     8.289900    0.63927511E+01
  56     8.299900    0.29469430E+02
  57     8.309900    0.58013045E+02
  58     8.319900    0.65786147E+02
  59     8.329900    0.66603405E+02
  60     8.339900    0.56630061E+02
  61     8.349900    0.55302593E+02
  62     8.359900    0.46498815E+02
  63     8.369900    0.40076989E+02
  64     8.379900    0.32899625E+02
  65     8.389900    0.33879595E+02
  66     8.399900    0.28662303E+02
  67     8.409900    0.27176979E+02
  68     8.419900    0.29000315E+02
  69     8.429900    0.28944139E+02
  70     8.439900    0.28114133E+02
  71     8.449900    0.27578049E+02
  72     8.459900    0.28510849E+02
  73     8.469900    0.29963370E+02
  74     8.479900    0.31990418E+02
  75     8.489900    0.33083348E+02
  76     8.499900    0.31661936E+02
  77     8.509900    0.32959149E+02
  78     8.519900    0.29705429E+02
  79     8.529900    0.27922977E+02
  80     8.539900    0.27828258E+02
  81     8.549900    0.27919563E+02
  82     8.559900    0.25960862E+02
  83     8.569900    0.26261642E+02
  84     8.579900    0.26981170E+02
  85     8.589900    0.27916970E+02
  86     8.599900    0.28943236E+02
  87     8.609900    0.29216485E+02
  88     8.619900    0.29084579E+02
  89     8.629900    0.28449094E+02
  90     8.639900    0.27247373E+02
  91     8.649900    0.25777632E+02
  92     8.659900    0.23830871E+02
  93     8.669900    0.21930602E+02
  94     8.679900    0.19554210E+02
  95     8.689900    0.16925194E+02
  96     8.699900    0.13273811E+02
  97     8.709900    0.95474760E+01
  98     8.719900    0.94892105E+01
  99     8.729900    0.93762756E+01
 100     8.739900    0.91990303E+01
 101     8.749900    0.90491238E+01
 102     8.759900    0.89115383E+01
 103     8.769900    0.87542389E+01
 104     8.779900    0.86302091E+01
 105     8.789900    0.85144325E+01
 106     8.799900    0.83448145E+01
 107     8.809900    0.82005807E+01
 108     8.819900    0.80749524E+01
 109     8.829900    0.79541014E+01
 110     8.839900    0.78150425E+01
 111     8.849900    0.76950301E+01
 112     8.859900    0.75493392E+01
