#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1     7.926900   -0.17398312E+03
   2     7.936900   -0.16065984E+03
   3     7.946900   -0.14623212E+03
   4     7.956900   -0.13655853E+03
   5     7.966900   -0.12294457E+03
   6     7.976900   -0.10077821E+03
   7     7.986900   -0.58397296E+02
   8     7.996900    0.34460139E+01
   9     8.006900    0.29424989E+02
  10     8.016900    0.38292311E+02
  11     8.026900    0.41428311E+02
  12     8.036900    0.33596647E+02
  13     8.046900    0.22442032E+02
  14     8.056900    0.15758953E+02
  15     8.066900    0.15589572E+02
  16     8.076900    0.59626596E+01
  17     8.086900   -0.24201995E+02
  18     8.096900   -0.39975327E+02
  19     8.106900   -0.43349001E+02
  20     8.116900   -0.36937148E+02
  21     8.126900   -0.39999853E+02
  22     8.136900   -0.28344652E+02
  23     8.146900   -0.31196939E+02
  24     8.156900   -0.46244499E+02
  25     8.166900   -0.56812162E+02
  26     8.176900   -0.56716307E+02
  27     8.186900   -0.45968500E+02
  28     8.196900   -0.41602020E+02
  29     8.206900   -0.28300774E+02
  30     8.216900   -0.17641858E+02
  31     8.226900   -0.13672931E+02
  32     8.236900   -0.14497698E+02
  33     8.246900   -0.18836631E+02
  34     8.256900   -0.24497664E+02
  35     8.266900   -0.36926341E+02
  36     8.276900   -0.51454455E+02
  37     8.286900   -0.59475767E+02
  38     8.296900   -0.39119180E+02
  39     8.306900   -0.22975416E+02
  40     8.316900   -0.17986170E+02
  41     8.326900   -0.14945755E+02
  42     8.336900   -0.52524850E+01
  43     8.346900    0.24612430E+01
  44     8.356900    0.96338724E+01
  45     8.366900    0.15042000E+02
  46     8.376900    0.20806642E+02
  47     8.386900    0.26160538E+02
  48     8.396900    0.30491394E+02
  49     8.406900    0.33234470E+02
  50     8.416900    0.32930436E+02
  51     8.426900    0.28327764E+02
  52     8.436900    0.25056065E+02
  53     8.446900    0.24388187E+02
  54     8.456900    0.24930907E+02
  55     8.466900    0.26942299E+02
  56     8.476900    0.29542556E+02
  57     8.486900    0.30275323E+02
  58     8.496900    0.32116090E+02
  59     8.506900    0.33696930E+02
  60     8.516900    0.34488669E+02
  61     8.526900    0.34592978E+02
  62     8.536900    0.33728695E+02
  63     8.546900    0.31266165E+02
  64     8.556900    0.26529522E+02
  65     8.566900    0.23808912E+02
  66     8.576900    0.20985310E+02
  67     8.586900    0.18512052E+02
  68     8.596900    0.15933121E+02
  69     8.606900    0.13142256E+02
  70     8.616900    0.99275152E+01
  71     8.626900    0.82134814E+01
  72     8.636900    0.80845305E+01
  73     8.646900    0.79562690E+01
  74     8.656900    0.78382507E+01
  75     8.666900    0.77115503E+01
  76     8.676900    0.76048148E+01
  77     8.686900    0.74982137E+01
  78     8.696900    0.74005069E+01
  79     8.706900    0.72939194E+01
  80     8.716900    0.71955569E+01
  81     8.726900    0.71135577E+01
  82     8.736900    0.70179477E+01
  83     8.746900    0.69441680E+01
  84     8.756900    0.68593189E+01
  85     8.766900    0.67653301E+01
  86     8.776900    0.66913394E+01
