#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 184    10.167100   -0.78057910E+01
 185    10.177100   -0.75226303E+01
 186    10.187100   -0.76221481E+01
 187    10.197100   -0.77134560E+01
 188    10.207100   -0.77990214E+01
 189    10.217100   -0.79026748E+01
 190    10.227100   -0.79723838E+01
 191    10.237100   -0.80336104E+01
 192    10.247100   -0.80405745E+01
 193    10.257100   -0.80114176E+01
 194    10.267100   -0.79993923E+01
 195    10.277100   -0.79756214E+01
 196    10.287100   -0.79524421E+01
 197    10.297100   -0.79449127E+01
 198    10.307100   -0.78946583E+01
 199    10.317100   -0.78129111E+01
 200    10.327100   -0.77326753E+01
 201    10.337100   -0.76510543E+01
 202    10.347100   -0.75768974E+01
 203    10.357100   -0.75581617E+01
 204    10.367100   -0.74056067E+01
 205    10.377100   -0.73237510E+01
 206    10.387100   -0.72661330E+01
 207    10.397100   -0.72040627E+01
 208    10.407100   -0.71826676E+01
 209    10.417100   -0.71234218E+01
 210    10.427100   -0.70078891E+01
 211    10.437100   -0.70758850E+01
 212    10.447100   -0.71273264E+01
 213    10.457100   -0.71756711E+01
 214    10.467100   -0.74142681E+01
 215    10.477100   -0.75450832E+01
 216    10.487100   -0.79245308E+01
 217    10.497100   -0.83510723E+01
 218    10.507100   -0.92654395E+01
 219    10.517100   -0.10369071E+02
 220    10.527100   -0.12230087E+02
 221    10.537100   -0.14567058E+02
 222    10.547100   -0.16909027E+02
 223    10.557100   -0.18837333E+02
 224    10.567100   -0.22764221E+02
 225    10.577100   -0.25147190E+02
 226    10.587100   -0.30661223E+02
 227    10.597100   -0.35064514E+02
 228    10.607100   -0.41025747E+02
 229    10.617100   -0.49178808E+02
 230    10.627100   -0.58125652E+02
 231    10.637100   -0.69859073E+02
